essay_id,deberta_3891_feat_0,deberta_3891_feat_1,deberta_3891_feat_2,deberta_3891_feat_3,deberta_3891_feat_4,deberta_3891_feat_5,deberta_5188_feat_0,deberta_5188_feat_1,deberta_5188_feat_2,deberta_5188_feat_3,deberta_5188_feat_4,deberta_5188_feat_5,deberta_6485_feat_0,deberta_6485_feat_1,deberta_6485_feat_2,deberta_6485_feat_3,deberta_6485_feat_4,deberta_6485_feat_5
0072128,-3.678585,-1.6878402,2.5612047,4.7332125,0.6602905,-3.3613677,-3.858205,-1.8866601,2.6458333,5.1342664,0.5397601,-3.726071,-4.0967937,-2.2825785,1.8965218,5.4859867,1.3041664,-3.3116324
0079938,-1.359007,2.9045825,4.879303,0.8295526,-3.5892055,-4.5607953,-2.621867,2.568956,6.453983,0.7809677,-3.9360635,-4.814117,-3.0293093,2.2922318,6.6972394,1.0734146,-3.892066,-4.8764653
0079f2a,3.6425889,5.21757,0.4212044,-2.9023893,-3.316248,-3.2551599,3.5548606,6.514819,-0.49009126,-3.5437632,-3.4344075,-2.9722795,3.2325158,6.7233877,-0.4394933,-3.6767774,-3.405217,-2.9827983
007db64,2.3968728,5.7047963,1.2612623,-3.182608,-3.6484044,-3.315662,2.6510189,6.8317595,-0.09262458,-3.8010848,-3.5651197,-2.9057074,2.4883037,6.9333525,-0.018344712,-3.8962696,-3.5991192,-2.929589
0081f18,-0.8582203,3.767452,4.6137066,-0.3262971,-3.9761093,-4.3851304,-2.6812918,1.7682925,6.2320538,1.3020374,-3.7165995,-4.750911,-2.917588,1.7311542,6.3463774,1.339556,-3.7519033,-4.7211056
008341a,-2.7609699,1.0629331,5.090901,2.7510672,-2.8195522,-4.6249924,-3.2725232,0.5808749,5.8312874,2.9288094,-2.8532913,-4.911951,-3.4791408,0.81722397,6.1219954,2.8437219,-3.0862372,-4.9908466
0084f6c,-3.4281332,-0.46702388,4.284699,4.011713,-1.387068,-4.2789354,-3.958482,-1.9574012,2.6833625,5.114058,0.7052797,-3.6069539,-4.220348,-2.2711694,2.0962877,5.4759774,1.2803314,-3.2493813
0087059,4.6905646,1.8663011,0.23285955,-1.4483708,-2.4170737,-2.1533346,5.5128803,0.6972874,-0.34252062,-1.3976314,-1.8825018,-1.5763146,5.7483616,0.5842851,-0.46813062,-1.4041345,-1.9170191,-1.549119
0098ef4,-3.499697,-1.8707063,2.0039167,4.3695235,1.3525854,-2.8330305,-3.5054986,-2.0412438,1.565087,4.442915,1.7232255,-2.876456,-3.6771939,-1.8621551,1.6742593,4.870397,1.4001834,-3.2203078
00a3575,2.2367082,5.5725307,1.5381602,-2.695127,-3.701245,-3.4854286,1.7132151,6.470092,1.3339022,-3.1106298,-3.7844777,-3.423304,1.972396,6.6700654,0.94702905,-3.3570104,-3.7671728,-3.286082
00a4469,-3.1640232,0.69735736,4.947294,2.4498556,-2.4315734,-4.0068655,-3.8914118,-0.8304832,4.9811745,3.373874,-1.511923,-3.7646537,-4.232611,-1.6289423,3.810053,4.3735976,-0.37594748,-3.374517
00a541a,1.0148306,5.2140408,2.799021,-2.678576,-4.0729055,-3.6095889,1.21167,6.3127956,1.7854686,-3.6502416,-4.00686,-3.2745366,1.894005,6.4809856,1.0813595,-3.8765233,-3.8836908,-3.1250234
00a6693,-3.551619,-1.3451934,3.1496737,4.6667867,-0.13109313,-3.745661,-3.7446938,-2.260581,1.7762046,4.9307213,1.626512,-2.9911916,-3.9004726,-2.4709206,1.2312683,5.0775514,2.0853078,-2.657127
00a6e71,-0.94984114,2.944431,4.410519,0.5615279,-3.5993567,-4.438397,-1.3692783,4.160711,5.4073505,-0.9698215,-4.3704495,-4.544616,-0.66799605,5.395399,4.505489,-2.084629,-4.4443626,-4.3120894
00aa6de,-0.5421172,4.6429873,3.52158,-2.0016499,-3.58579,-3.310059,-2.2876961,3.8149204,5.1242104,-1.424043,-3.6502817,-3.401764,-2.3141532,4.237809,4.994681,-1.7828857,-3.6554677,-3.333121
00b2fe2,-3.4394932,-0.58783805,4.089029,4.312726,-1.2095519,-4.287398,-4.0429873,-1.9186732,2.842681,5.2990685,0.55266047,-3.7277122,-4.1489406,-2.114402,2.2066903,5.5600076,1.064251,-3.426688
00b3311,-1.591167,0.62195903,3.231626,2.7708974,-1.6813115,-4.2850065,-2.4826434,-0.64719814,2.6779234,3.748022,-0.39112845,-3.967042,-2.7661893,-0.58299977,2.6289563,4.201756,-0.36567542,-4.1332865
00bee4c,-2.7350352,1.401908,5.3582506,2.4510887,-2.9605215,-4.700672,-3.3448067,0.784592,6.183155,2.6290548,-3.1006045,-4.9420395,-3.7920008,0.74607724,6.263917,2.7590985,-2.9551985,-4.833749
00c3589,-3.3478355,-0.5697504,4.089792,4.189356,-1.2381579,-4.2003593,-3.9647152,-1.4568349,3.8600082,4.8440094,-0.56575423,-4.085711,-4.284105,-1.9371389,2.92487,5.4539785,0.3671957,-3.6635506
00cb5dc,1.234024,5.7552767,2.340038,-3.052144,-3.950433,-3.5656576,1.1829875,6.877962,1.5803705,-3.766042,-3.9851162,-3.3054652,0.7636566,6.940852,2.1485913,-3.780866,-4.1041913,-3.4474366
00ccc2d,-3.7181394,-2.6717577,0.88154405,3.94115,2.7252975,-1.4102588,-3.6684618,-3.072244,-0.062434617,3.3978071,4.0332456,-0.55507594,-3.737691,-2.9718668,0.12861322,3.8186595,3.653415,-1.043398
00d027f,-2.8109734,1.4836287,5.5274987,1.9234617,-2.9992146,-4.2537737,-3.3326275,0.973066,6.488852,2.0218072,-3.1089127,-4.4269915,-3.751986,0.3791061,6.1355867,2.6949484,-2.6207042,-4.2985454
00d4911,-3.638846,-0.8573218,3.84944,4.221824,-0.80039966,-3.9190557,-3.882988,-1.3934863,3.4283931,4.773762,-0.017631037,-3.971016,-4.2599297,-1.8834867,2.6399522,5.3006077,0.8069105,-3.5834415
00d576b,1.8400794,2.9693363,1.7368869,-0.5895043,-2.883164,-3.2727292,3.3149633,3.7256982,0.9718832,-1.7598165,-3.3343556,-3.2090273,3.356543,4.60566,0.8827337,-2.3106303,-3.5775106,-3.2871706
00da297,-0.9586176,3.5225794,4.637678,-0.06904485,-3.9478362,-4.3924365,-1.6936564,3.5997896,5.735036,-0.5225905,-4.325205,-4.536887,-2.0163062,3.8089561,6.019535,-0.73257905,-4.448292,-4.570977
00daaa2,-2.0283086,1.6820879,4.781918,2.064008,-3.1534393,-4.6066318,-1.8036019,2.698785,5.507788,0.58702576,-3.8487747,-4.659633,-2.1704023,2.9959295,5.998503,0.18047912,-4.0759654,-4.6029363
00dd003,-1.7885804,3.058438,5.2612004,0.23164414,-3.8532615,-4.309997,-2.0177991,3.709347,5.8252597,-0.82636476,-4.22278,-4.4366856,-1.2455906,5.13699,4.9225287,-2.2203999,-4.4536047,-4.137598
00e047b,-3.6524768,-1.7736241,2.290654,4.490274,1.1001472,-3.067426,-3.8677242,-2.065744,2.1898503,4.9934783,1.2653661,-3.3586967,-4.055238,-2.1321423,1.96334,5.339752,1.349196,-3.3637347
00e3edb,3.9460638,5.3033032,0.27655518,-3.0756016,-3.4967084,-3.2083821,5.828121,4.3168545,-1.1227871,-2.9800792,-3.1483808,-2.5202622,5.7595096,4.5034676,-1.2526162,-3.1285262,-3.1904354,-2.544897
00e5687,-2.0906684,1.7382522,5.1478186,1.7826962,-3.3805444,-4.577266,-2.831891,0.8836008,5.976003,2.1125736,-3.3443387,-4.833242,-3.2513175,0.6308054,6.077944,2.462133,-3.210601,-4.771446
00eabc5,-3.6134112,-2.98957,0.2922785,3.46113,3.1777887,-0.4459373,-3.779917,-3.089893,0.27959713,4.0554757,3.6264517,-1.1020907,-3.7308898,-3.150615,-0.060008936,3.7987206,3.848888,-0.68334895
00ef89f,3.8476892,4.832135,0.51310337,-2.6686244,-3.4584417,-3.087265,6.369802,1.904531,-1.1675483,-1.9744779,-2.2447963,-1.7288285,6.4407783,2.3703406,-1.3615614,-2.1851783,-2.4396563,-1.8007091
00f3984,-0.4596376,4.4904847,4.0055013,-1.6398307,-4.03034,-3.9471273,0.71988,6.1344614,2.0485942,-3.270135,-3.9723048,-3.3609715,0.72095203,6.353795,2.1362844,-3.4622698,-3.9858036,-3.3862226
00f6383,-2.8669515,0.42401242,4.5990167,3.4140627,-2.1562967,-4.5287366,-2.6523771,1.3045123,5.667536,2.0619133,-3.3413682,-4.8666563,-3.1061993,1.5106413,6.212969,1.8136172,-3.5631804,-4.7477074
00f6ac7,-3.6640847,-0.8544033,4.0591507,4.3189125,-0.81200355,-3.989711,-3.7256348,-0.92229944,4.5472555,4.180875,-1.1119479,-4.294407,-4.0664587,-1.1081243,4.213079,4.607709,-0.77067673,-4.140371
00fca9b,0.1813421,5.037205,3.3944764,-2.440809,-4.086097,-3.6097198,-1.4889208,4.601893,4.8560057,-2.2793055,-4.278777,-3.5840163,-2.485798,3.2391555,5.9665513,-1.0354265,-4.100722,-3.8121805
00fd564,-2.9847963,0.81913006,5.1870475,2.7813077,-2.5409806,-4.500748,-3.225836,0.7430196,6.066134,2.6912029,-2.8238811,-4.7664757,-3.4485178,0.8751171,6.183517,2.740723,-2.8780246,-4.815012
00feec3,3.1873114,5.5551014,0.42091754,-3.1653988,-3.3902192,-3.1598835,3.0157387,6.570724,-0.43055972,-3.5800757,-3.424528,-2.852936,3.280046,6.4632497,-0.7662471,-3.6177406,-3.2761743,-2.6696436
0105e2e,0.8979808,5.32776,1.9129258,-2.9572098,-3.5595975,-2.986577,0.25204542,6.2273293,1.9295907,-3.4608214,-3.7741106,-2.8631504,-0.048177436,6.1993675,2.2139983,-3.569049,-3.7798436,-2.889425
0123792,-3.60839,-2.5105212,1.1871103,4.2936487,2.159654,-2.0141113,-3.8356178,-3.2217934,0.0068647917,3.9193301,3.8803024,-0.8395407,-3.7908168,-3.1454575,-0.040339336,3.9440405,3.756049,-0.88995045
01247bc,1.5898014,5.204801,2.2562494,-2.345328,-3.8099546,-3.7914677,2.741631,6.543693,0.5628362,-3.482191,-3.9448762,-3.395552,2.8582385,6.641899,0.24155428,-3.6753955,-3.799744,-3.2524922
01267d1,0.6273078,3.5208492,3.0571911,-0.5743787,-3.6657848,-4.055953,3.921593,2.9227498,0.696333,-1.5919386,-3.0381682,-2.8237908,4.1144276,3.399842,0.53401345,-1.8989286,-3.1865273,-2.7748058
01290ec,-2.7004695,-0.5030093,2.8919146,3.7228208,-0.2635501,-3.803906,-1.7260401,0.71133834,3.6664298,2.426855,-1.8464962,-4.443496,-1.9413122,1.1748244,4.1415153,2.5040958,-2.324033,-4.7629943
012c9be,2.6563053,5.8072104,1.0271795,-3.1684077,-3.5955055,-3.3931181,2.1127899,7.073792,0.21330799,-3.6883478,-3.5593603,-2.9510777,2.117766,7.1898875,0.047656305,-3.7631469,-3.489501,-2.9033525
012f8f0,-1.7263417,1.5618719,4.5404243,2.1589427,-2.9770133,-4.534375,-1.3458564,2.7141747,5.1948156,0.58604735,-3.8958418,-4.810307,-1.5718467,3.3082795,5.7198052,0.11261374,-4.296673,-4.879752
013ac83,-3.399279,-1.6870704,1.9320238,4.1284103,1.4006075,-2.6818857,-3.6697989,-2.162084,1.3194444,4.1121807,2.3640492,-2.3081226,-3.80828,-2.1411307,1.2444549,4.522886,2.247693,-2.5018477
014eba6,4.462363,4.4110017,-0.103863016,-2.8125465,-3.2276416,-2.7201147,4.4390187,5.090909,-0.87864166,-3.238675,-3.2992597,-2.6294222,3.6620405,5.90485,-0.6956432,-3.6488311,-3.4116192,-2.808311
014f1b3,1.6854746,5.7527976,1.816064,-3.0240643,-3.667317,-3.392603,3.2736065,6.4282465,-0.9765111,-3.7245078,-3.2009258,-2.4101279,3.0646791,6.5189095,-1.0027927,-3.7966585,-3.1337216,-2.3260267
0151c0f,-2.9814372,-2.0053027,1.0295111,3.2788486,2.1610641,-1.4306802,-2.9353917,-2.0072753,0.7552012,3.1928756,2.6625059,-1.5665292,-3.2922719,-2.1874158,0.6810399,3.7535784,2.7258387,-1.8215184
0155be4,-1.6065247,2.7301352,5.1140676,0.6740466,-3.7904897,-4.4933143,-2.2768834,2.581502,6.018441,0.1086248,-4.1050215,-4.4955993,-2.5843587,2.5512524,6.353103,0.21659516,-4.1060596,-4.584328
0156ea6,4.743421,3.6465812,-0.0073020454,-2.2297187,-2.9951339,-2.646123,6.2542133,2.2601209,-0.7815872,-1.9341007,-2.561847,-1.9765806,6.447349,2.1852186,-0.9344181,-1.9610394,-2.526983,-1.9043515
015ac93,-2.0813308,2.0285068,5.1880803,1.773952,-3.2944434,-4.5678816,-2.972809,1.0963761,6.092568,2.3321815,-3.1712916,-4.8949733,-3.3686535,0.87730473,6.0038953,2.806252,-2.985922,-4.954431
016010c,-3.4417465,-2.8212829,0.032856066,2.7407913,3.4026797,0.2604655,-2.9501052,-3.0000267,-0.9894884,1.360888,4.4431868,1.8487805,-3.0542386,-3.094829,-0.81606823,1.5772827,4.3538036,1.5902088
0163804,-3.3483007,-1.1446342,2.9612308,4.364198,0.107203454,-3.6944816,-3.702558,-1.6944469,2.5804236,4.925738,0.65136474,-3.6902657,-4.001933,-1.660503,2.6957955,5.364279,0.46609747,-3.8932023
01665d5,-2.0078099,2.349175,5.2684436,0.9047571,-3.740047,-4.4311843,-2.2222478,3.092349,6.29802,-0.4230498,-4.3391533,-4.45387,-2.9672065,2.1449418,6.685691,0.47818023,-4.0280757,-4.4826016
016ed64,-2.8382485,-0.005092126,4.227487,3.832951,-1.8367969,-4.4979286,-3.3209784,-0.7115663,4.090845,4.4360075,-1.296404,-4.600051,-3.6995678,-0.962529,3.6505165,5.0795436,-0.83819747,-4.5152903
01711c3,-2.9240935,-0.34218824,3.855718,4.136691,-1.3986107,-4.3658175,-2.0990255,0.571173,4.3252864,2.845216,-2.413562,-4.693145,-2.8497326,0.05577799,4.0970135,3.9018967,-1.8683516,-4.740584
01846d8,2.7830489,5.456171,0.2508996,-3.3199592,-3.130034,-2.7003002,2.6270285,6.5018387,-0.7830401,-3.6838193,-3.0908852,-2.3293095,3.4771485,6.1310368,-1.2147858,-3.6549633,-3.0799263,-2.239355
0187e96,-3.6766455,-2.0128286,1.8602394,4.460563,1.6918416,-2.6578367,-3.5286524,-1.8653998,1.7150935,4.480515,1.765528,-2.9091744,-3.5730941,-1.767986,1.5276167,4.6898003,1.6808494,-2.9536428
018985d,-2.9946125,-0.0077914824,4.2888665,3.7748787,-1.7272831,-4.4211664,-3.5917585,-1.3032769,3.180384,4.839722,-0.112974815,-4.07096,-3.896144,-1.3916504,2.9315627,5.2492275,0.12689847,-3.9643555
018fbeb,-0.02466856,4.0906124,4.0166755,-0.46564096,-3.9109092,-4.5283504,2.7414088,6.5903964,0.9501297,-3.3126678,-4.0534754,-3.771169,2.4735882,6.9406857,0.57177556,-3.6269941,-3.836566,-3.4417894
018ff85,-3.459626,-2.1561215,1.482912,4.132508,1.9139276,-2.2521756,-3.471733,-2.4373174,0.7664853,3.9659028,2.791112,-1.8500915,-3.6487446,-2.2045045,1.1659908,4.7037787,2.0631785,-2.6101875
019b862,1.4299731,4.6772346,2.6559784,-1.8247858,-3.8105564,-3.9827821,1.4766937,6.1734843,2.226634,-3.2147355,-4.286634,-3.9974658,1.399702,6.669187,2.012661,-3.6299229,-4.2350636,-3.8197954
019e2c4,-3.2431183,-0.17305839,4.43216,3.9987016,-1.6568098,-4.4749765,-3.834666,-1.0236303,4.2572494,4.7438574,-1.0109751,-4.5612297,-4.009477,-0.6875571,4.6553307,4.684133,-1.5105196,-4.777991
019e8c3,-3.6943052,-2.31638,1.5480282,4.4354324,1.856403,-2.3760931,-3.7672827,-2.8364513,0.55505216,4.1474566,3.2361853,-1.6066856,-3.6479754,-2.4967093,0.7112699,4.3210063,2.7086804,-2.0031908
01a0d33,-2.6441576,0.5819181,4.627469,3.285099,-2.3201218,-4.665379,-3.138311,-0.06754008,4.8298664,3.7634883,-1.9736179,-4.8520823,-3.1072378,0.72743386,5.59426,3.0208135,-2.880472,-5.0838547
01a39ed,-3.4027724,-0.98132044,3.590561,4.469679,-0.76711315,-4.038863,-3.5706327,-1.873828,2.2458284,4.8224573,0.80827284,-3.4790013,-3.6835072,-1.8087813,2.0488646,5.09692,0.8535268,-3.4751425
01a53e1,-2.6973608,0.4811026,4.696423,3.2310765,-2.400119,-4.6071296,-2.9267628,0.34518299,5.3942347,2.9309213,-2.740739,-4.8610945,-3.7073398,-0.74202836,4.451543,4.4762654,-1.6205386,-4.6566825
01ad79e,2.2473745,5.7056117,1.5568378,-2.9450526,-3.6244287,-3.5412314,2.9668791,6.60243,-0.20078889,-3.6601255,-3.4173007,-2.8462586,1.5456378,7.1029086,0.6049946,-3.7553487,-3.457712,-2.988257
01ae85f,-2.1027102,0.9241767,4.273348,2.9125085,-2.3969927,-4.606035,-1.846965,1.7309105,5.0047536,1.638088,-3.2165537,-4.8555703,-2.9967232,0.8775773,5.2923636,3.023547,-2.7214043,-4.9967833
01b55c8,-3.5392525,-2.1590872,1.4187163,3.9008834,2.111911,-1.9111731,-3.3763387,-1.9368075,1.5105153,3.9431548,1.9459082,-2.4654791,-3.5269046,-1.484981,2.09884,4.5629506,0.9171647,-3.3247175
01b9b63,0.48189434,5.2889795,2.7058928,-2.8637452,-3.7289197,-3.2448668,0.43789968,6.4527287,2.0374115,-3.4463067,-3.7677636,-3.019066,0.17080061,6.5243,2.1823902,-3.5130472,-3.7101467,-3.0063603
01bb061,0.99479777,3.2583065,2.4924269,-0.65152246,-3.4385743,-3.7370653,1.7120881,3.871985,1.8113773,-1.9061053,-3.5982757,-3.4576175,1.489404,4.32652,2.0651026,-2.3247116,-3.777109,-3.5150363
01bb07c,-3.524778,-0.58662474,4.1116967,4.332724,-1.0878711,-4.332483,-4.1416955,-1.5930495,3.4826798,5.1838965,-0.042200875,-4.141607,-4.4446,-1.8240509,3.0562694,5.5644197,0.40577513,-3.9069207
01bb2f3,-1.1911142,2.5369775,4.6635103,1.0471551,-3.6424055,-4.584788,2.9146502,4.97057,1.4287298,-2.4810433,-3.9693868,-3.706246,3.0143435,5.471293,1.213024,-2.8256211,-3.9406254,-3.5806127
01bd69c,-0.97835994,4.064054,4.7895484,-0.7566321,-4.0921197,-4.349638,-2.4278576,2.9734552,6.458689,0.016122684,-4.2707977,-4.743061,-2.8663712,2.7989242,6.748511,0.01494445,-4.1990767,-4.601337
01c1169,-2.234008,2.1328127,5.045978,1.3371238,-3.1658921,-4.173573,-3.3069956,0.75480413,5.8316655,2.5444646,-2.5752132,-4.4121566,-3.4934072,1.0732977,6.1404905,2.3712392,-2.864407,-4.45994
01c3e09,4.4972606,3.9876482,0.33101818,-2.239426,-3.2206411,-2.8460314,5.737881,2.859201,-0.43819013,-2.0606012,-2.8644068,-2.2691438,5.95192,2.5024,-0.5217289,-1.9970894,-2.7184684,-2.1652699
01c46fa,-2.305773,1.6966656,5.247179,1.8531321,-3.2380452,-4.5145617,-2.4242415,2.044292,5.9429235,1.0451367,-3.700435,-4.6837673,-3.246422,1.2721437,6.366544,1.8773658,-3.460178,-4.694607
01c5073,-2.7522678,0.20326896,4.3267,3.5892866,-1.9439899,-4.434297,-2.712107,0.5322656,5.049223,2.9853134,-2.469346,-4.6525474,-3.3526719,-0.110691585,4.780254,3.8487551,-2.0358522,-4.5643086
01c5750,-1.7827427,0.68127525,3.4283602,2.7701905,-1.7510124,-4.3245525,-1.1217833,1.4141531,3.804594,1.6844634,-2.7362318,-4.5339084,-1.948265,1.4626329,4.7054186,2.2766209,-2.9801962,-5.0154724
01c5e87,-3.6507378,-2.5797036,1.0144786,4.0955386,2.4914875,-1.7026246,-3.6945531,-3.0681074,0.03806441,3.7025115,3.8898776,-0.9169098,-3.6968029,-2.9964993,0.05264979,3.8541672,3.6899693,-1.1145316
01c8f7a,2.6128294,5.2484217,1.3992333,-2.5062113,-3.5952568,-3.6782176,1.9280562,6.578933,1.2006795,-3.2256706,-3.8193228,-3.6583855,1.4788456,6.938308,1.2089444,-3.5835218,-3.754883,-3.4671917
01cbe3d,-2.6389015,-0.44283813,3.1595404,3.6434994,-0.6794253,-3.9891143,-3.6743443,-1.515161,2.8312888,4.729399,0.47287178,-3.8072157,-3.9960086,-1.798956,2.4197655,5.2602086,0.855839,-3.6835325
01d0836,1.0668178,2.3876214,2.1143925,0.17351976,-2.8015885,-3.5706477,0.88085884,2.0625339,2.3013735,0.22746529,-2.8960767,-3.7622015,1.084362,2.903255,2.3943014,-0.39881384,-3.2273235,-3.7587523
01d2df1,-3.5843024,-1.7567374,2.2629035,4.550647,1.0480555,-3.0751429,-3.7964833,-2.314262,1.560164,4.8537893,1.9009535,-2.8295474,-3.8900323,-2.533775,1.0384068,4.9783998,2.3483694,-2.5012004
01d6e7e,-0.44541037,4.1691413,4.2707095,-0.69210976,-3.8966033,-4.308261,-2.11361,3.440306,6.130233,0.0058592414,-4.0173473,-4.641693,-2.4105554,3.6537554,6.3354516,-0.15370144,-4.0765676,-4.60387
01dabde,-2.8805535,-2.53885,-0.2671709,1.6350155,3.0588436,1.4233389,-2.8136744,-2.7930086,-0.87117976,1.1808603,4.2048635,1.7854979,-2.951152,-2.9289615,-0.7566707,1.3171526,4.1845937,1.7213261
01e0bb8,-3.5663576,-2.7412744,0.59079915,3.5860803,2.9985876,-0.8465114,-3.3924232,-2.6642585,0.34607378,3.5004578,3.4603145,-1.062373,-3.5202582,-2.672035,0.43190834,4.056426,3.1909714,-1.5014445
01e64c4,2.5084403,5.5717025,1.417849,-2.868141,-3.8572357,-3.655161,2.273545,6.7200456,0.96174824,-3.5524225,-4.0451765,-3.5873606,2.037397,7.001856,0.9322908,-3.7503939,-4.033124,-3.5498993
01e78c7,1.9941436,5.433875,1.7667978,-2.9552948,-3.875497,-3.4576025,1.7404768,6.5319076,1.2327609,-3.636497,-4.056966,-3.3180635,1.6642271,6.6628356,1.1488712,-3.8181508,-3.995431,-3.161176
01ec06b,-1.5157083,1.6904118,4.153515,1.4945053,-3.1221685,-4.2893767,-0.8802073,2.8329163,4.357496,0.10543841,-3.754918,-4.464319,-2.457319,1.8395911,5.531324,1.3133041,-3.5750344,-4.712379
01ec1a3,-3.0192304,-0.3269269,4.0259485,3.9390674,-1.5509335,-4.2756476,-3.6518924,-1.5018631,3.226323,4.9790664,-0.27084777,-4.0293703,-3.9798844,-1.7835948,2.7512174,5.47831,0.21537778,-3.845466
01f5682,-3.3164363,-2.9194918,-0.21747445,2.4092615,3.4594512,0.81456906,-3.6696315,-2.680766,0.5837007,4.0150676,3.2463415,-1.574009,-3.7989507,-2.6051242,0.67639977,4.3893957,2.9676628,-1.9172525
0200fbc,-2.3372529,0.507379,4.3225727,3.34073,-2.231687,-4.5903482,-2.7450175,0.21049646,4.804345,3.4140387,-2.198732,-4.822646,-3.2575955,-0.2041299,4.448642,4.3589263,-1.736304,-4.813676
0210900,0.40468404,5.084691,3.503557,-1.9645315,-4.0345254,-4.0189843,2.133451,6.769188,1.1820861,-3.444537,-3.9362094,-3.613021,0.47936773,6.8885655,2.759389,-3.3645484,-4.206918,-3.885144
